City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,swan river,52.1058,-101.2676,-18.51,76,32,11.5,CA,scattered clouds
267,cabo san lucas,22.8909,-109.9124,54.7,77,100,3.44,MX,overcast clouds
268,cockburn town,21.4612,-71.1419,76.75,60,93,19.73,TC,overcast clouds
269,mitsamiouli,-11.3847,43.2844,82.04,77,4,9.17,KM,clear sky
270,saint andrews,34.0454,-81.1293,41.45,81,20,0.0,US,few clouds
271,cururupu,-1.8283,-44.8683,84.02,67,91,6.85,BR,overcast clouds
272,garissa,-0.4536,39.6401,94.06,24,0,7.72,KE,clear sky
273,tiksi,71.6872,128.8694,-25.06,100,100,3.33,RU,overcast clouds
274,porto novo,6.4965,2.6036,85.82,60,46,13.49,BJ,scattered clouds
275,narsaq,60.9167,-46.05,28.62,67,100,22.53,GL,light snow
276,voznesenye,61.0106,35.4781,21.74,84,100,14.67,RU,overcast clouds
277,fairbanks,64.8378,-147.7164,15.1,80,100,0.0,US,overcast clouds
278,asau,46.4333,26.4,27.52,85,100,6.29,RO,overcast clouds
279,pangnirtung,66.1451,-65.7125,-38.94,99,100,3.65,CA,overcast clouds
280,ponta delgada,37.7333,-25.6667,59.72,67,75,11.5,PT,broken clouds
281,mandiana,10.6333,-8.6833,95.72,11,100,3.56,GN,overcast clouds
282,sahuaripa,29.05,-109.2333,54.1,38,90,3.76,MX,overcast clouds
283,gubskaya,44.3164,40.6358,40.64,47,100,1.1,RU,overcast clouds
284,manta,-0.95,-80.7333,80.38,74,40,4.61,EC,scattered clouds
285,arraial do cabo,-22.9661,-42.0278,89.46,62,0,8.05,BR,clear sky
286,kenitra,34.261,-6.5802,57.96,50,14,11.16,MA,few clouds
287,neuquen,-38.9516,-68.0591,80.49,29,0,3.44,AR,clear sky
288,wanaka,-44.7,169.15,57.11,72,0,1.99,NZ,clear sky
289,curaca,-8.9903,-39.9094,92.28,31,0,12.15,BR,clear sky
290,bam,29.106,58.357,41.09,72,99,4.09,IR,light rain
291,salento,4.6375,-75.5703,65.41,56,79,2.55,CO,broken clouds
292,thompson,55.7435,-97.8558,-27.24,75,40,6.91,CA,scattered clouds
293,urumqi,43.801,87.6005,-4.85,84,5,4.47,CN,smoke
294,norman wells,65.282,-126.8329,-27.36,68,20,4.61,CA,few clouds
295,uribia,11.7139,-72.266,83.32,49,2,21.68,CO,clear sky
296,hawalli,29.2833,47.9972,66.29,42,0,3.0,KW,clear sky
297,calabozo,8.9242,-67.4293,85.26,39,6,10.16,VE,clear sky
298,abong mbang,3.9833,13.1833,84.85,39,100,4.16,CM,overcast clouds
299,touba,8.2833,-7.6833,96.39,15,100,5.12,CI,overcast clouds
300,awjilah,29.1081,21.2869,64.42,32,22,7.99,LY,few clouds
301,college,64.8569,-147.8028,15.08,79,100,0.0,US,light snow
302,kitimat,54.0524,-128.6534,37.78,30,11,7.2,CA,few clouds
303,westport,41.1415,-73.3579,45.91,65,100,14.97,US,overcast clouds
